task	file	body_len
15	task_15_099.txt	56
14	task_14_329.txt	56
26	task_26_002.txt	57
15	task_15_095.txt	57
15	task_15_081.txt	57
15	task_15_097.txt	57
15	task_15_083.txt	57
15	task_15_087.txt	57
15	task_15_093.txt	57
15	task_15_079.txt	57
15	task_15_085.txt	57
15	task_15_103.txt	57
15	task_15_117.txt	57
15	task_15_077.txt	57
15	task_15_062.txt	57
15	task_15_075.txt	57
15	task_15_101.txt	57
15	task_15_058.txt	57
15	task_15_064.txt	57
15	task_15_073.txt	57
5	task_5_027.txt	57
5	task_5_019.txt	57
15	task_15_123.txt	58
15	task_15_109.txt	58
15	task_15_121.txt	58
15	task_15_119.txt	58
15	task_15_127.txt	58
15	task_15_111.txt	58
15	task_15_113.txt	58
15	task_15_107.txt	58
15	task_15_089.txt	59
12	task_12_248.txt	59
16	task_16_269.txt	63
16	task_16_271.txt	64
16	task_16_273.txt	64
2	task_2_041.txt	64
2	task_2_040.txt	64
6	task_6_080.txt	65
6	task_6_071.txt	65
24	task_24_083.txt	65
24	task_24_079.txt	65
24	task_24_085.txt	65
22	task_22_003.txt	65
2	task_2_043.txt	66
1	task_1_013.txt	67
2	task_2_045.txt	69
15	task_15_169.txt	70
15	task_15_181.txt	70
15	task_15_190.txt	70
15	task_15_179.txt	70
15	task_15_175.txt	70
15	task_15_188.txt	70
15	task_15_177.txt	70
15	task_15_214.txt	70
15	task_15_167.txt	70
15	task_15_173.txt	70
15	task_15_171.txt	70
2	task_2_055.txt	70
4	task_4_036.txt	71
4	task_4_049.txt	71
15	task_15_248.txt	72
16	task_16_205.txt	74
1	task_1_030.txt	74
4	task_4_004.txt	74
4	task_4_006.txt	74
15	task_15_157.txt	74
15	task_15_153.txt	74
15	task_15_161.txt	74
15	task_15_149.txt	74
15	task_15_163.txt	74
1	task_1_014.txt	81
16	task_16_203.txt	82
1	task_1_031.txt	83
26	task_26_003.txt	83
4	task_4_046.txt	83
12	task_12_244.txt	83
22	task_22_092.txt	83
6	task_6_065.txt	84
6	task_6_063.txt	84
12	task_12_239.txt	84
12	task_12_266.txt	84
12	task_12_241.txt	84
16	task_16_215.txt	85
15	task_15_155.txt	85
15	task_15_151.txt	85
15	task_15_165.txt	85
15	task_15_159.txt	85
15	task_15_458.txt	85
12	task_12_246.txt	85
24	task_24_140.txt	86
24	task_24_142.txt	86
16	task_16_041.txt	87
16	task_16_043.txt	87
16	task_16_039.txt	87
1	task_1_064.txt	87
24	task_24_244.txt	87
16	task_16_235.txt	88
16	task_16_237.txt	88
16	task_16_233.txt	88
16	task_16_239.txt	88
16	task_16_247.txt	89
6	task_6_291.txt	89
6	task_6_287.txt	90
6	task_6_285.txt	90
6	task_6_256.txt	90
6	task_6_281.txt	90
6	task_6_283.txt	90
10	task_10_251.txt	90
10	task_10_253.txt	90
15	task_15_035.txt	90
16	task_16_142.txt	91
16	task_16_227.txt	91
16	task_16_225.txt	91
16	task_16_231.txt	91
16	task_16_243.txt	91
16	task_16_245.txt	91
5	task_5_052.txt	91
5	task_5_055.txt	91
5	task_5_067.txt	91
16	task_16_127.txt	92
16	task_16_131.txt	92
16	task_16_129.txt	92
16	task_16_229.txt	92
8	task_8_247.txt	92
16	task_16_241.txt	93
6	task_6_153.txt	93
24	task_24_146.txt	93
9	task_9_238.txt	94
9	task_9_234.txt	94
16	task_16_249.txt	94
14	task_14_645.txt	94
16	task_16_277.txt	96
8	task_8_193.txt	96
24	task_24_284.txt	97
5	task_5_029.txt	97
11	task_11_029.txt	98
16	task_16_195.txt	98
16	task_16_197.txt	98
16	task_16_199.txt	98
6	task_6_293.txt	98
6	task_6_069.txt	98
6	task_6_297.txt	98
6	task_6_067.txt	98
6	task_6_301.txt	98
24	task_24_263.txt	98
24	task_24_282.txt	98
15	task_15_002.txt	98
11	task_11_031.txt	99
5	task_5_066.txt	99
16	task_16_201.txt	100
6	task_6_059.txt	100
6	task_6_061.txt	100
4	task_4_018.txt	101
4	task_4_011.txt	101
11	task_11_153.txt	102
11	task_11_147.txt	102
11	task_11_151.txt	102
24	task_24_144.txt	102
11	task_11_155.txt	103
11	task_11_145.txt	103
11	task_11_135.txt	103
16	task_16_279.txt	103
22	task_22_151.txt	103
22	task_22_156.txt	103
22	task_22_166.txt	103
22	task_22_164.txt	103
22	task_22_158.txt	103
22	task_22_160.txt	103
22	task_22_162.txt	103
15	task_15_021.txt	104
22	task_22_088.txt	105
15	task_15_003.txt	106
22	task_22_086.txt	106
6	task_6_210.txt	107
6	task_6_089.txt	107
9	task_9_180.txt	109
16	task_16_281.txt	109
16	task_16_045.txt	109
15	task_15_022.txt	109
7	task_7_094.txt	110
7	task_7_096.txt	110
7	task_7_092.txt	110
16	task_16_108.txt	110
16	task_16_047.txt	110
24	task_24_076.txt	110
24	task_24_074.txt	110
24	task_24_070.txt	110
24	task_24_072.txt	110
24	task_24_080.txt	110
24	task_24_082.txt	110
24	task_24_078.txt	110
24	task_24_086.txt	110
24	task_24_084.txt	110
15	task_15_006.txt	110
16	task_16_053.txt	111
6	task_6_279.txt	111
6	task_6_335.txt	111
6	task_6_299.txt	111
6	task_6_277.txt	111
6	task_6_275.txt	111
15	task_15_008.txt	111
2	task_2_168.txt	111
8	task_8_383.txt	114
24	task_24_148.txt	114
24	task_24_150.txt	114
15	task_15_004.txt	114
24	task_24_152.txt	115
15	task_15_019.txt	115
13	task_13_116.txt	116
22	task_22_090.txt	116
1	task_1_017.txt	117
16	task_16_065.txt	118
6	task_6_319.txt	118
6	task_6_321.txt	118
6	task_6_317.txt	118
15	task_15_010.txt	118
9	task_9_236.txt	119
1	task_1_006.txt	119
1	task_1_089.txt	119
1	task_1_075.txt	119
1	task_1_087.txt	119
1	task_1_091.txt	119
15	task_15_040.txt	119
9	task_9_254.txt	120
9	task_9_252.txt	120
16	task_16_069.txt	120
16	task_16_067.txt	120
1	task_1_009.txt	120
16	task_16_055.txt	121
16	task_16_057.txt	121
16	task_16_061.txt	121
16	task_16_063.txt	121
8	task_8_320.txt	121
14	task_14_484.txt	121
24	task_24_296.txt	123
4	task_4_093.txt	123
26	task_26_014.txt	124
26	task_26_020.txt	124
24	task_24_286.txt	125
15	task_15_041.txt	125
15	task_15_007.txt	125
7	task_7_076.txt	126
11	task_11_093.txt	127
8	task_8_335.txt	127
22	task_22_084.txt	127
17	task_17_433.txt	128
13	task_13_110.txt	128
13	task_13_117.txt	128
13	task_13_115.txt	128
13	task_13_114.txt	128
13	task_13_119.txt	128
13	task_13_125.txt	128
13	task_13_124.txt	128
13	task_13_123.txt	128
13	task_13_120.txt	128
13	task_13_121.txt	128
1	task_1_166.txt	129
1	task_1_171.txt	129
1	task_1_161.txt	129
1	task_1_142.txt	129
8	task_8_446.txt	129
15	task_15_026.txt	129
15	task_15_025.txt	129
22	task_22_082.txt	129
9	task_9_240.txt	130
15	task_15_009.txt	130
15	task_15_016.txt	130
5	task_5_075.txt	130
14	task_14_222.txt	130
15	task_15_036.txt	131
15	task_15_033.txt	131
15	task_15_011.txt	131
5	task_5_077.txt	131
15	task_15_013.txt	132
13	task_13_029.txt	132
13	task_13_111.txt	132
13	task_13_113.txt	132
13	task_13_112.txt	132
13	task_13_118.txt	132
13	task_13_122.txt	132
13	task_13_108.txt	132
13	task_13_109.txt	132
13	task_13_032.txt	132
13	task_13_030.txt	132
5	task_5_087.txt	132
11	task_11_149.txt	133
10	task_10_250.txt	133
15	task_15_037.txt	133
15	task_15_032.txt	133
15	task_15_014.txt	133
15	task_15_029.txt	133
13	task_13_038.txt	133
13	task_13_033.txt	133
13	task_13_034.txt	133
13	task_13_037.txt	133
13	task_13_036.txt	133
22	task_22_094.txt	133
22	task_22_059.txt	133
22	task_22_065.txt	133
22	task_22_062.txt	133
24	task_24_139.txt	134
24	task_24_138.txt	134
24	task_24_137.txt	134
24	task_24_141.txt	134
24	task_24_143.txt	134
15	task_15_030.txt	134
15	task_15_012.txt	134
13	task_13_031.txt	134
13	task_13_035.txt	134
15	task_15_024.txt	135
1	task_1_073.txt	136
15	task_15_027.txt	136
15	task_15_031.txt	136
15	task_15_028.txt	136
15	task_15_015.txt	136
24	task_24_274.txt	137
24	task_24_273.txt	137
24	task_24_266.txt	137
24	task_24_265.txt	137
24	task_24_294.txt	137
24	task_24_250.txt	137
5	task_5_058.txt	137
24	task_24_354.txt	138
24	task_24_355.txt	138
24	task_24_352.txt	138
24	task_24_353.txt	138
5	task_5_071.txt	138
5	task_5_073.txt	138
1	task_1_094.txt	139
24	task_24_236.txt	139
1	task_1_032.txt	140
1	task_1_034.txt	140
1	task_1_037.txt	140
8	task_8_338.txt	140
8	task_8_337.txt	140
15	task_15_001.txt	140
13	task_13_127.txt	140
15	task_15_017.txt	141
24	task_24_172.txt	142
18	task_18_001.txt	143
16	task_16_191.txt	143
10	task_10_252.txt	143
8	task_8_124.txt	143
8	task_8_125.txt	143
8	task_8_121.txt	143
8	task_8_122.txt	143
8	task_8_123.txt	143
8	task_8_185.txt	143
24	task_24_134.txt	143
4	task_4_009.txt	143
18	task_18_017.txt	144
18	task_18_015.txt	144
18	task_18_011.txt	144
18	task_18_013.txt	144
18	task_18_019.txt	144
9	task_9_242.txt	144
6	task_6_057.txt	144
17	task_17_340.txt	144
10	task_10_271.txt	144
10	task_10_272.txt	144
10	task_10_276.txt	144
10	task_10_274.txt	144
10	task_10_278.txt	144
10	task_10_280.txt	144
10	task_10_282.txt	144
24	task_24_253.txt	144
4	task_4_015.txt	144
13	task_13_129.txt	144
13	task_13_128.txt	144
13	task_13_131.txt	144
13	task_13_130.txt	144
18	task_18_021.txt	145
17	task_17_285.txt	145
17	task_17_284.txt	145
17	task_17_286.txt	145
17	task_17_287.txt	145
17	task_17_283.txt	145
10	task_10_265.txt	145
10	task_10_263.txt	145
10	task_10_261.txt	145
10	task_10_269.txt	145
10	task_10_268.txt	145
24	task_24_272.txt	145
24	task_24_334.txt	145
24	task_24_297.txt	145
24	task_24_295.txt	145
15	task_15_023.txt	145
1	task_1_085.txt	146
15	task_15_020.txt	146
15	task_15_018.txt	146
5	task_5_062.txt	146
16	task_16_183.txt	147
16	task_16_185.txt	147
16	task_16_189.txt	147
8	task_8_022.txt	147
8	task_8_023.txt	147
24	task_24_262.txt	147
24	task_24_233.txt	147
16	task_16_187.txt	148
26	task_26_400.txt	148
8	task_8_281.txt	149
11	task_11_096.txt	150
6	task_6_246.txt	150
6	task_6_248.txt	150
1	task_1_115.txt	150
1	task_1_147.txt	150
13	task_13_015.txt	150
11	task_11_112.txt	151
13	task_13_067.txt	151
11	task_11_098.txt	152
1	task_1_108.txt	152
8	task_8_227.txt	152
11	task_11_117.txt	153
11	task_11_109.txt	153
11	task_11_126.txt	153
1	task_1_110.txt	153
8	task_8_210.txt	153
16	task_16_219.txt	154
14	task_14_531.txt	155
14	task_14_224.txt	155
11	task_11_023.txt	156
11	task_11_130.txt	157
10	task_10_279.txt	157
10	task_10_281.txt	157
8	task_8_024.txt	157
2	task_2_029.txt	157
14	task_14_529.txt	157
1	task_1_182.txt	159
1	task_1_180.txt	159
8	task_8_495.txt	160
8	task_8_256.txt	161
8	task_8_362.txt	162
13	task_13_065.txt	162
13	task_13_066.txt	162
13	task_13_126.txt	162
13	task_13_068.txt	162
13	task_13_069.txt	162
16	task_16_059.txt	163
8	task_8_331.txt	163
24	task_24_133.txt	163
24	task_24_090.txt	164
13	task_13_099.txt	164
13	task_13_089.txt	164
13	task_13_088.txt	164
13	task_13_086.txt	164
13	task_13_092.txt	164
13	task_13_093.txt	164
13	task_13_087.txt	164
13	task_13_091.txt	164
13	task_13_085.txt	164
13	task_13_084.txt	164
13	task_13_090.txt	164
13	task_13_094.txt	164
13	task_13_083.txt	164
6	task_6_055.txt	165
8	task_8_298.txt	165
24	task_24_089.txt	165
15	task_15_005.txt	165
13	task_13_104.txt	165
13	task_13_105.txt	165
13	task_13_107.txt	165
13	task_13_106.txt	165
13	task_13_102.txt	165
13	task_13_103.txt	165
13	task_13_101.txt	165
13	task_13_100.txt	165
8	task_8_332.txt	166
6	task_6_258.txt	167
8	task_8_163.txt	167
8	task_8_162.txt	167
8	task_8_160.txt	167
8	task_8_161.txt	167
24	task_24_087.txt	167
14	task_14_226.txt	167
14	task_14_378.txt	167
6	task_6_250.txt	168
8	task_8_370.txt	168
8	task_8_459.txt	168
8	task_8_129.txt	168
8	task_8_131.txt	168
8	task_8_461.txt	169
8	task_8_460.txt	169
8	task_8_132.txt	169
8	task_8_135.txt	169
8	task_8_134.txt	169
8	task_8_409.txt	169
6	task_6_312.txt	170
8	task_8_333.txt	170
24	task_24_091.txt	170
24	task_24_324.txt	170
5	task_5_675.txt	170
5	task_5_375.txt	170
6	task_6_206.txt	171
24	task_24_322.txt	171
2	task_2_021.txt	171
8	task_8_166.txt	172
8	task_8_285.txt	172
8	task_8_184.txt	172
16	task_16_217.txt	173
6	task_6_331.txt	173
1	task_1_130.txt	173
8	task_8_165.txt	173
8	task_8_164.txt	173
8	task_8_443.txt	173
24	task_24_132.txt	173
15	task_15_558.txt	173
15	task_15_562.txt	173
15	task_15_560.txt	173
22	task_22_071.txt	173
8	task_8_410.txt	174
8	task_8_464.txt	174
8	task_8_276.txt	174
8	task_8_275.txt	174
8	task_8_274.txt	174
8	task_8_297.txt	174
24	task_24_320.txt	174
15	task_15_034.txt	174
15	task_15_559.txt	174
15	task_15_561.txt	174
5	task_5_085.txt	174
5	task_5_083.txt	174
8	task_8_402.txt	175
8	task_8_465.txt	175
23	task_23_027.txt	175
23	task_23_028.txt	175
2	task_2_017.txt	175
2	task_2_015.txt	175
2	task_2_024.txt	175
2	task_2_018.txt	175
2	task_2_019.txt	175
2	task_2_025.txt	175
2	task_2_033.txt	175
2	task_2_023.txt	175
2	task_2_034.txt	175
23	task_23_002.txt	176
23	task_23_001.txt	176
2	task_2_028.txt	176
2	task_2_027.txt	176
2	task_2_026.txt	176
2	task_2_037.txt	176
2	task_2_035.txt	176
6	task_6_208.txt	177
6	task_6_262.txt	177
8	task_8_403.txt	177
8	task_8_407.txt	177
8	task_8_463.txt	177
8	task_8_490.txt	177
23	task_23_121.txt	177
23	task_23_031.txt	177
23	task_23_025.txt	177
23	task_23_030.txt	177
23	task_23_026.txt	177
23	task_23_011.txt	177
15	task_15_361.txt	177
2	task_2_032.txt	177
2	task_2_036.txt	177
2	task_2_022.txt	177
1	task_1_113.txt	178
1	task_1_146.txt	178
8	task_8_411.txt	178
8	task_8_186.txt	178
14	task_14_493.txt	178
8	task_8_400.txt	179
8	task_8_455.txt	179
8	task_8_408.txt	179
8	task_8_225.txt	179
15	task_15_293.txt	179
15	task_15_315.txt	179
15	task_15_314.txt	179
15	task_15_316.txt	179
13	task_13_098.txt	179
6	task_6_325.txt	180
6	task_6_252.txt	180
6	task_6_254.txt	180
8	task_8_405.txt	180
8	task_8_385.txt	180
24	task_24_277.txt	180
15	task_15_323.txt	180
15	task_15_289.txt	180
15	task_15_288.txt	180
15	task_15_317.txt	180
8	task_8_159.txt	181
8	task_8_158.txt	181
8	task_8_188.txt	181
8	task_8_189.txt	181
8	task_8_309.txt	181
8	task_8_187.txt	181
8	task_8_190.txt	181
8	task_8_191.txt	181
8	task_8_156.txt	181
8	task_8_157.txt	181
24	task_24_125.txt	181
15	task_15_309.txt	181
15	task_15_291.txt	181
15	task_15_290.txt	181
15	task_15_287.txt	181
15	task_15_307.txt	181
15	task_15_306.txt	181
12	task_12_114.txt	181
12	task_12_116.txt	181
12	task_12_112.txt	181
12	task_12_110.txt	181
12	task_12_108.txt	181
6	task_6_289.txt	182
10	task_10_285.txt	182
10	task_10_283.txt	182
15	task_15_308.txt	182
15	task_15_337.txt	182
15	task_15_362.txt	182
15	task_15_310.txt	182
15	task_15_311.txt	182
2	task_2_016.txt	182
2	task_2_020.txt	182
5	task_5_627.txt	182
5	task_5_333.txt	182
6	task_6_087.txt	183
6	task_6_083.txt	183
6	task_6_027.txt	183
6	task_6_023.txt	183
6	task_6_021.txt	183
17	task_17_389.txt	183
8	task_8_414.txt	183
8	task_8_413.txt	183
8	task_8_406.txt	183
8	task_8_183.txt	183
15	task_15_325.txt	183
15	task_15_324.txt	183
15	task_15_313.txt	183
15	task_15_312.txt	183
12	task_12_098.txt	183
12	task_12_096.txt	183
12	task_12_094.txt	183
12	task_12_090.txt	183
12	task_12_092.txt	183
1	task_1_066.txt	184
1	task_1_068.txt	184
8	task_8_404.txt	184
8	task_8_437.txt	184
15	task_15_326.txt	184
15	task_15_345.txt	184
15	task_15_344.txt	184
12	task_12_100.txt	184
12	task_12_102.txt	184
12	task_12_106.txt	184
12	task_12_104.txt	184
2	task_2_030.txt	184
6	task_6_333.txt	185
1	task_1_163.txt	185
8	task_8_438.txt	185
6	task_6_085.txt	186
6	task_6_047.txt	186
6	task_6_045.txt	186
6	task_6_327.txt	186
6	task_6_323.txt	186
6	task_6_043.txt	186
6	task_6_031.txt	186
6	task_6_025.txt	186
6	task_6_033.txt	186
6	task_6_037.txt	186
6	task_6_035.txt	186
6	task_6_016.txt	186
6	task_6_029.txt	186
6	task_6_049.txt	186
6	task_6_260.txt	186
6	task_6_329.txt	186
1	task_1_126.txt	186
8	task_8_200.txt	186
8	task_8_313.txt	186
15	task_15_300.txt	186
15	task_15_298.txt	186
15	task_15_338.txt	186
13	task_13_097.txt	186
14	task_14_334.txt	186
6	task_6_147.txt	187
8	task_8_296.txt	187
15	task_15_297.txt	187
15	task_15_301.txt	187
15	task_15_303.txt	187
15	task_15_299.txt	187
15	task_15_304.txt	187
15	task_15_339.txt	187
8	task_8_228.txt	188
8	task_8_270.txt	188
15	task_15_296.txt	188
15	task_15_294.txt	188
15	task_15_340.txt	188
15	task_15_302.txt	188
13	task_13_132.txt	188
13	task_13_133.txt	188
13	task_13_095.txt	188
13	task_13_134.txt	188
13	task_13_096.txt	188
8	task_8_271.txt	189
8	task_8_311.txt	189
8	task_8_272.txt	189
22	task_22_073.txt	189
6	task_6_093.txt	190
8	task_8_273.txt	190
15	task_15_341.txt	190
13	task_13_080.txt	190
13	task_13_082.txt	190
10	task_10_254.txt	191
8	task_8_217.txt	191
8	task_8_442.txt	191
15	task_15_364.txt	191
8	task_8_412.txt	192
8	task_8_302.txt	192
24	task_24_136.txt	192
15	task_15_363.txt	192
12	task_12_021.txt	192
14	task_14_332.txt	192
17	task_17_056.txt	193
17	task_17_057.txt	193
17	task_17_054.txt	193
17	task_17_059.txt	193
17	task_17_063.txt	193
17	task_17_062.txt	193
17	task_17_060.txt	193
17	task_17_061.txt	193
8	task_8_401.txt	193
8	task_8_301.txt	193
8	task_8_456.txt	193
8	task_8_280.txt	193
8	task_8_334.txt	193
17	task_17_055.txt	194
17	task_17_058.txt	194
10	task_10_275.txt	194
8	task_8_457.txt	194
8	task_8_223.txt	194
6	task_6_164.txt	195
6	task_6_176.txt	195
6	task_6_188.txt	195
10	task_10_242.txt	195
8	task_8_201.txt	195
8	task_8_114.txt	195
8	task_8_117.txt	195
8	task_8_116.txt	195
8	task_8_118.txt	195
8	task_8_295.txt	195
6	task_6_192.txt	196
6	task_6_184.txt	196
6	task_6_180.txt	196
6	task_6_168.txt	196
6	task_6_172.txt	196
6	task_6_160.txt	196
8	task_8_181.txt	196
23	task_23_008.txt	196
23	task_23_009.txt	196
23	task_23_007.txt	196
23	task_23_006.txt	196
13	task_13_081.txt	196
16	task_16_190.txt	197
16	task_16_174.txt	197
10	task_10_244.txt	197
23	task_23_010.txt	197
6	task_6_194.txt	198
6	task_6_182.txt	198
6	task_6_170.txt	198
10	task_10_277.txt	198
23	task_23_003.txt	198
23	task_23_014.txt	198
23	task_23_004.txt	198
23	task_23_005.txt	198
14	task_14_315.txt	198
6	task_6_127.txt	199
6	task_6_131.txt	199
6	task_6_295.txt	199
6	task_6_135.txt	199
6	task_6_123.txt	199
6	task_6_151.txt	199
6	task_6_186.txt	199
6	task_6_178.txt	199
6	task_6_190.txt	199
6	task_6_157.txt	199
6	task_6_143.txt	199
6	task_6_166.txt	199
6	task_6_162.txt	199
6	task_6_149.txt	199
6	task_6_174.txt	199
6	task_6_139.txt	199
6	task_6_115.txt	199
10	task_10_305.txt	199
10	task_10_299.txt	199
10	task_10_301.txt	199
10	task_10_295.txt	199
10	task_10_297.txt	199
8	task_8_497.txt	199
24	task_24_267.txt	199
23	task_23_122.txt	199
23	task_23_029.txt	199
23	task_23_013.txt	199
23	task_23_012.txt	199
2	task_2_005.txt	199
2	task_2_010.txt	199
2	task_2_031.txt	199
6	task_6_091.txt	200
24	task_24_176.txt	200
15	task_15_319.txt	200
6	task_6_019.txt	201
8	task_8_144.txt	201
24	task_24_196.txt	201
15	task_15_318.txt	201
15	task_15_498.txt	201
6	task_6_133.txt	202
6	task_6_125.txt	202
6	task_6_119.txt	202
6	task_6_121.txt	202
6	task_6_137.txt	202
6	task_6_145.txt	202
6	task_6_155.txt	202
6	task_6_141.txt	202
6	task_6_129.txt	202
6	task_6_117.txt	202
10	task_10_303.txt	202
8	task_8_496.txt	202
23	task_23_120.txt	202
15	task_15_320.txt	202
8	task_8_262.txt	205
8	task_8_466.txt	205
8	task_8_254.txt	205
24	task_24_197.txt	205
15	task_15_322.txt	205
8	task_8_399.txt	206
8	task_8_310.txt	206
8	task_8_470.txt	206
8	task_8_289.txt	206
15	task_15_334.txt	206
15	task_15_321.txt	206
15	task_15_292.txt	206
2	task_2_131.txt	206
2	task_2_096.txt	206
2	task_2_094.txt	206
1	task_1_149.txt	207
8	task_8_128.txt	207
8	task_8_115.txt	207
8	task_8_130.txt	207
8	task_8_283.txt	207
15	task_15_336.txt	207
15	task_15_370.txt	207
15	task_15_371.txt	207
2	task_2_095.txt	207
10	task_10_247.txt	208
8	task_8_148.txt	208
8	task_8_149.txt	208
8	task_8_145.txt	208
8	task_8_147.txt	208
8	task_8_146.txt	208
8	task_8_143.txt	208
24	task_24_214.txt	208
24	task_24_212.txt	208
24	task_24_126.txt	208
15	task_15_335.txt	208
15	task_15_332.txt	208
15	task_15_327.txt	208
15	task_15_333.txt	208
24	task_24_205.txt	209
15	task_15_374.txt	209
15	task_15_373.txt	209
15	task_15_372.txt	209
15	task_15_328.txt	209
2	task_2_068.txt	209
8	task_8_011.txt	210
8	task_8_010.txt	210
8	task_8_198.txt	210
8	task_8_300.txt	210
8	task_8_133.txt	210
24	task_24_246.txt	210
24	task_24_351.txt	210
15	task_15_330.txt	210
8	task_8_467.txt	211
8	task_8_068.txt	211
8	task_8_222.txt	211
15	task_15_331.txt	211
2	task_2_070.txt	211
2	task_2_188.txt	211
2	task_2_119.txt	211
2	task_2_069.txt	211
16	task_16_050.txt	212
6	task_6_010.txt	212
6	task_6_014.txt	212
10	task_10_289.txt	212
10	task_10_293.txt	212
10	task_10_287.txt	212
10	task_10_291.txt	212
8	task_8_348.txt	212
8	task_8_468.txt	212
8	task_8_469.txt	212
8	task_8_255.txt	212
15	task_15_375.txt	212
2	task_2_098.txt	212
17	task_17_022.txt	213
8	task_8_299.txt	213
8	task_8_384.txt	213
8	task_8_340.txt	213
15	task_15_353.txt	213
2	task_2_149.txt	213
2	task_2_097.txt	213
8	task_8_212.txt	214
8	task_8_363.txt	214
8	task_8_321.txt	214
8	task_8_209.txt	214
15	task_15_346.txt	214
2	task_2_182.txt	214
13	task_13_070.txt	214
13	task_13_071.txt	214
13	task_13_073.txt	214
13	task_13_072.txt	214
13	task_13_076.txt	214
13	task_13_077.txt	214
13	task_13_075.txt	214
13	task_13_074.txt	214
13	task_13_079.txt	214
13	task_13_078.txt	214
17	task_17_021.txt	215
8	task_8_376.txt	215
24	task_24_128.txt	215
24	task_24_127.txt	215
15	task_15_347.txt	215
2	task_2_144.txt	215
2	task_2_145.txt	215
2	task_2_151.txt	215
2	task_2_147.txt	215
2	task_2_146.txt	215
2	task_2_124.txt	215
16	task_16_176.txt	216
16	task_16_175.txt	216
8	task_8_211.txt	216
8	task_8_259.txt	216
15	task_15_352.txt	216
16	task_16_178.txt	217
16	task_16_177.txt	217
8	task_8_368.txt	217
24	task_24_220.txt	217
24	task_24_219.txt	217
15	task_15_356.txt	217
2	task_2_086.txt	217
18	task_18_016.txt	218
18	task_18_014.txt	218
18	task_18_028.txt	218
18	task_18_010.txt	218
18	task_18_012.txt	218
18	task_18_022.txt	218
18	task_18_034.txt	218
18	task_18_020.txt	218
18	task_18_018.txt	218
18	task_18_024.txt	218
18	task_18_030.txt	218
18	task_18_026.txt	218
18	task_18_032.txt	218
18	task_18_086.txt	218
10	task_10_210.txt	218
10	task_10_208.txt	218
23	task_23_015.txt	218
15	task_15_329.txt	218
2	task_2_085.txt	218
18	task_18_176.txt	219
18	task_18_174.txt	219
18	task_18_172.txt	219
18	task_18_178.txt	219
9	task_9_178.txt	219
8	task_8_230.txt	219
15	task_15_357.txt	219
22	task_22_064.txt	219
22	task_22_067.txt	219
